ts,deployment,replicas,maxbatchsize
2026-06-17T16:02:05Z,qa-granite-8b,4,128
2026-06-17T16:02:05Z,qa-llama-13b,2,128
2026-06-17T16:02:20Z,qa-granite-8b,4,128
2026-06-17T16:02:20Z,qa-llama-13b,2,128
2026-06-17T16:02:35Z,qa-granite-8b,4,128
2026-06-17T16:02:35Z,qa-llama-13b,2,128
2026-06-17T16:02:50Z,qa-granite-8b,4,128
2026-06-17T16:02:50Z,qa-llama-13b,2,128
2026-06-17T16:03:05Z,qa-granite-8b,2,256
2026-06-17T16:03:05Z,qa-llama-13b,1,256
2026-06-17T16:03:20Z,qa-granite-8b,3,256
2026-06-17T16:03:20Z,qa-llama-13b,1,256
2026-06-17T16:03:35Z,qa-granite-8b,3,256
2026-06-17T16:03:35Z,qa-llama-13b,1,256
2026-06-17T16:03:51Z,qa-granite-8b,2,256
2026-06-17T16:03:51Z,qa-llama-13b,1,256
2026-06-17T16:04:06Z,qa-granite-8b,2,256
2026-06-17T16:04:06Z,qa-llama-13b,1,256
2026-06-17T16:04:21Z,qa-granite-8b,2,256
2026-06-17T16:04:21Z,qa-llama-13b,1,256
2026-06-17T16:04:36Z,qa-granite-8b,2,256
2026-06-17T16:04:36Z,qa-llama-13b,1,256
2026-06-17T16:04:51Z,qa-granite-8b,2,256
2026-06-17T16:04:51Z,qa-llama-13b,1,256
2026-06-17T16:05:06Z,qa-granite-8b,2,256
2026-06-17T16:05:06Z,qa-llama-13b,1,256
2026-06-17T16:05:21Z,qa-granite-8b,2,256
2026-06-17T16:05:21Z,qa-llama-13b,1,256
2026-06-17T16:05:36Z,qa-granite-8b,2,256
2026-06-17T16:05:36Z,qa-llama-13b,1,256
2026-06-17T16:05:51Z,qa-granite-8b,3,256
2026-06-17T16:05:51Z,qa-llama-13b,1,256
2026-06-17T16:06:06Z,qa-granite-8b,3,256
2026-06-17T16:06:06Z,qa-llama-13b,1,256
2026-06-17T16:06:21Z,qa-granite-8b,4,256
2026-06-17T16:06:21Z,qa-llama-13b,1,256
2026-06-17T16:06:37Z,qa-granite-8b,4,256
2026-06-17T16:06:37Z,qa-llama-13b,1,256
2026-06-17T16:06:52Z,qa-granite-8b,4,256
2026-06-17T16:06:52Z,qa-llama-13b,1,256
2026-06-17T16:07:07Z,qa-granite-8b,4,256
2026-06-17T16:07:07Z,qa-llama-13b,1,256
2026-06-17T16:07:22Z,qa-granite-8b,7,256
2026-06-17T16:07:22Z,qa-llama-13b,2,256
2026-06-17T16:07:37Z,qa-granite-8b,7,256
2026-06-17T16:07:37Z,qa-llama-13b,2,256
2026-06-17T16:07:52Z,qa-granite-8b,7,256
2026-06-17T16:07:52Z,qa-llama-13b,2,256
2026-06-17T16:08:07Z,qa-granite-8b,10,256
2026-06-17T16:08:07Z,qa-llama-13b,2,256
2026-06-17T16:08:22Z,qa-granite-8b,10,256
2026-06-17T16:08:22Z,qa-llama-13b,2,256
2026-06-17T16:08:37Z,qa-granite-8b,6,256
2026-06-17T16:08:37Z,qa-llama-13b,2,256
2026-06-17T16:08:52Z,qa-granite-8b,6,256
2026-06-17T16:08:52Z,qa-llama-13b,2,256
2026-06-17T16:09:07Z,qa-granite-8b,10,256
2026-06-17T16:09:07Z,qa-llama-13b,2,256
2026-06-17T16:09:23Z,qa-granite-8b,10,256
2026-06-17T16:09:23Z,qa-llama-13b,2,256
2026-06-17T16:09:38Z,qa-granite-8b,11,256
2026-06-17T16:09:38Z,qa-llama-13b,3,256
2026-06-17T16:09:53Z,qa-granite-8b,11,256
2026-06-17T16:09:53Z,qa-llama-13b,3,256
2026-06-17T16:10:08Z,qa-granite-8b,7,256
2026-06-17T16:10:08Z,qa-llama-13b,2,256
2026-06-17T16:10:23Z,qa-granite-8b,7,256
2026-06-17T16:10:23Z,qa-llama-13b,2,256
2026-06-17T16:10:38Z,qa-granite-8b,13,256
2026-06-17T16:10:38Z,qa-llama-13b,3,256
2026-06-17T16:10:53Z,qa-granite-8b,13,256
2026-06-17T16:10:53Z,qa-llama-13b,3,256
2026-06-17T16:11:08Z,qa-granite-8b,12,256
2026-06-17T16:11:08Z,qa-llama-13b,3,256
2026-06-17T16:11:23Z,qa-granite-8b,12,256
2026-06-17T16:11:23Z,qa-llama-13b,3,256
2026-06-17T16:11:38Z,qa-granite-8b,12,256
2026-06-17T16:11:38Z,qa-llama-13b,3,256
2026-06-17T16:11:54Z,qa-granite-8b,12,256
2026-06-17T16:11:54Z,qa-llama-13b,3,256
2026-06-17T16:12:09Z,qa-granite-8b,9,256
2026-06-17T16:12:09Z,qa-llama-13b,4,256
2026-06-17T16:12:24Z,qa-granite-8b,9,256
2026-06-17T16:12:24Z,qa-llama-13b,4,256
2026-06-17T16:12:39Z,qa-granite-8b,10,256
2026-06-17T16:12:39Z,qa-llama-13b,4,256
2026-06-17T16:12:54Z,qa-granite-8b,10,256
2026-06-17T16:12:54Z,qa-llama-13b,4,256
2026-06-17T16:13:09Z,qa-granite-8b,13,256
2026-06-17T16:13:09Z,qa-llama-13b,3,256
2026-06-17T16:13:24Z,qa-granite-8b,13,256
2026-06-17T16:13:24Z,qa-llama-13b,3,256
2026-06-17T16:13:39Z,qa-granite-8b,14,256
2026-06-17T16:13:39Z,qa-llama-13b,2,256
2026-06-17T16:13:54Z,qa-granite-8b,11,256
2026-06-17T16:13:54Z,qa-llama-13b,3,256
2026-06-17T16:14:09Z,qa-granite-8b,11,256
2026-06-17T16:14:09Z,qa-llama-13b,3,256
2026-06-17T16:14:25Z,qa-granite-8b,9,256
2026-06-17T16:14:25Z,qa-llama-13b,2,256
2026-06-17T16:14:40Z,qa-granite-8b,9,256
2026-06-17T16:14:40Z,qa-llama-13b,2,256
2026-06-17T16:14:55Z,qa-granite-8b,9,256
2026-06-17T16:14:55Z,qa-llama-13b,3,256
2026-06-17T16:15:10Z,qa-granite-8b,9,256
2026-06-17T16:15:10Z,qa-llama-13b,3,256
2026-06-17T16:15:25Z,qa-granite-8b,11,256
2026-06-17T16:15:25Z,qa-llama-13b,3,256
2026-06-17T16:15:40Z,qa-granite-8b,11,256
2026-06-17T16:15:40Z,qa-llama-13b,3,256
2026-06-17T16:15:55Z,qa-granite-8b,11,256
2026-06-17T16:15:55Z,qa-llama-13b,3,256
2026-06-17T16:16:10Z,qa-granite-8b,14,256
2026-06-17T16:16:10Z,qa-llama-13b,2,256
2026-06-17T16:16:25Z,qa-granite-8b,9,256
2026-06-17T16:16:25Z,qa-llama-13b,3,256
2026-06-17T16:16:40Z,qa-granite-8b,9,256
2026-06-17T16:16:40Z,qa-llama-13b,3,256
2026-06-17T16:16:56Z,qa-granite-8b,9,256
2026-06-17T16:16:56Z,qa-llama-13b,2,256
2026-06-17T16:17:11Z,qa-granite-8b,9,256
2026-06-17T16:17:11Z,qa-llama-13b,2,256
2026-06-17T16:17:26Z,qa-granite-8b,7,256
2026-06-17T16:17:26Z,qa-llama-13b,2,256
2026-06-17T16:17:41Z,qa-granite-8b,7,256
2026-06-17T16:17:41Z,qa-llama-13b,2,256
2026-06-17T16:17:56Z,qa-granite-8b,7,256
2026-06-17T16:17:56Z,qa-llama-13b,2,256
2026-06-17T16:18:11Z,qa-granite-8b,7,256
2026-06-17T16:18:11Z,qa-llama-13b,2,256
2026-06-17T16:18:26Z,qa-granite-8b,8,256
2026-06-17T16:18:26Z,qa-llama-13b,2,256
2026-06-17T16:18:41Z,qa-granite-8b,8,256
2026-06-17T16:18:41Z,qa-llama-13b,2,256
2026-06-17T16:18:56Z,qa-granite-8b,5,256
2026-06-17T16:18:56Z,qa-llama-13b,2,256
2026-06-17T16:19:11Z,qa-granite-8b,5,256
2026-06-17T16:19:11Z,qa-llama-13b,2,256
2026-06-17T16:19:27Z,qa-granite-8b,4,256
2026-06-17T16:19:27Z,qa-llama-13b,1,256
2026-06-17T16:19:42Z,qa-granite-8b,4,256
2026-06-17T16:19:42Z,qa-llama-13b,1,256
2026-06-17T16:19:57Z,qa-granite-8b,4,256
2026-06-17T16:19:57Z,qa-llama-13b,1,256
