shape,concurrency,achieved_rpm,itl_ms,ttft_ms,running,kv_pct
# --- shape 1024x512 ---
1024x512,4,160.0,15.56,589.7,36,2.4
1024x512,8,80.0,11.90,267.3,8,3.3
1024x512,16,128.0,12.54,405.5,16,8.3
1024x512,32,256.0,15.02,644.1,32,15.3
1024x512,48,288.0,17.27,735.5,48,25.6
1024x512,64,384.0,19.27,825.1,64,18.4
1024x512,96,408.0,25.58,938.3,96,45.9
1024x512,128,512.0,30.59,914.0,128,68.3
# --- shape 1024x2048 ---
1024x2048,4,8.0,11.68,123.3,4,4.7
1024x2048,8,16.0,12.27,251.4,8,8.8
1024x2048,16,32.0,13.12,390.5,16,15.9
1024x2048,32,64.0,15.70,723.6,32,22.8
1024x2048,48,160.0,20.55,938.7,80,19.6
1024x2048,64,96.0,29.34,nan,112,62.6
1024x2048,96,42.0,24.39,nan,116,100.0
1024x2048,128,34.0,25.85,21422.0,128,99.8
# SWEEP DONE
